Size, Type, Time
100, "Sequential", 0.000011
100, "Parallel", 0.024500
100, "Built-in", 0.000012
100, "Sequential", 0.000009
100, "Parallel", 0.029469
100, "Built-in", 0.000015
100, "Sequential", 0.000011
100, "Parallel", 0.020220
100, "Built-in", 0.000014
100, "Sequential", 0.000011
100, "Parallel", 0.024749
100, "Built-in", 0.000013
100, "Sequential", 0.000009
100, "Parallel", 0.024552
100, "Built-in", 0.000013
1000, "Sequential", 0.000156
1000, "Parallel", 0.091517
1000, "Built-in", 0.000154
1000, "Sequential", 0.000142
1000, "Parallel", 0.126613
1000, "Built-in", 0.000153
1000, "Sequential", 0.000147
1000, "Parallel", 0.125499
1000, "Built-in", 0.000151
1000, "Sequential", 0.000148
1000, "Parallel", 0.106317
1000, "Built-in", 0.000154
1000, "Sequential", 0.000147
1000, "Parallel", 0.100751
1000, "Built-in", 0.000154
10000, "Sequential", 0.001746
10000, "Parallel", 0.194806
10000, "Built-in", 0.001745
10000, "Sequential", 0.001711
10000, "Parallel", 0.193537
10000, "Built-in", 0.001840
10000, "Sequential", 0.001543
10000, "Parallel", 0.212422
10000, "Built-in", 0.001811
10000, "Sequential", 0.001616
10000, "Parallel", 0.212085
10000, "Built-in", 0.001772
10000, "Sequential", 0.001587
10000, "Parallel", 0.192946
10000, "Built-in", 0.001718
100000, "Sequential", 0.019678
100000, "Parallel", 0.267609
100000, "Built-in", 0.018966
100000, "Sequential", 0.019636
100000, "Parallel", 0.320885
100000, "Built-in", 0.018971
100000, "Sequential", 0.019006
100000, "Parallel", 0.277270
100000, "Built-in", 0.019056
100000, "Sequential", 0.018862
100000, "Parallel", 0.319026
100000, "Built-in", 0.018911
100000, "Sequential", 0.018816
100000, "Parallel", 0.270646
100000, "Built-in", 0.018981
200000, "Sequential", 0.039328
200000, "Parallel", 0.197797
200000, "Built-in", 0.039980
200000, "Sequential", 0.039333
200000, "Parallel", 0.170226
200000, "Built-in", 0.039673
200000, "Sequential", 0.039307
200000, "Parallel", 0.186587
200000, "Built-in", 0.039743
200000, "Sequential", 0.039695
200000, "Parallel", 0.234022
200000, "Built-in", 0.040238
200000, "Sequential", 0.039534
200000, "Parallel", 0.219812
200000, "Built-in", 0.041095
300000, "Sequential", 0.062832
300000, "Parallel", 0.258593
300000, "Built-in", 0.061395
300000, "Sequential", 0.061488
300000, "Parallel", 0.202053
300000, "Built-in", 0.061866
300000, "Sequential", 0.060406
300000, "Parallel", 0.183190
300000, "Built-in", 0.067678
300000, "Sequential", 0.062059
300000, "Parallel", 0.199274
300000, "Built-in", 0.061541
300000, "Sequential", 0.060212
300000, "Parallel", 0.205533
300000, "Built-in", 0.062487
400000, "Sequential", 0.083568
400000, "Parallel", 0.239590
400000, "Built-in", 0.084027
400000, "Sequential", 0.083989
400000, "Parallel", 0.245867
400000, "Built-in", 0.083646
400000, "Sequential", 0.085154
400000, "Parallel", 0.299093
400000, "Built-in", 0.083812
400000, "Sequential", 0.085045
400000, "Parallel", 0.327080
400000, "Built-in", 0.086552
400000, "Sequential", 0.086609
400000, "Parallel", 0.270215
400000, "Built-in", 0.086879
500000, "Sequential", 0.109920
500000, "Parallel", 0.300818
500000, "Built-in", 0.108176
500000, "Sequential", 0.107773
500000, "Parallel", 0.250745
500000, "Built-in", 0.109341
500000, "Sequential", 0.106745
500000, "Parallel", 0.237924
500000, "Built-in", 0.106945
500000, "Sequential", 0.105622
500000, "Parallel", 0.269225
500000, "Built-in", 0.105786
500000, "Sequential", 0.106231
500000, "Parallel", 0.266945
500000, "Built-in", 0.108778
600000, "Sequential", 0.133007
600000, "Parallel", 0.266178
600000, "Built-in", 0.131684
600000, "Sequential", 0.132843
600000, "Parallel", 0.255816
600000, "Built-in", 0.128894
600000, "Sequential", 0.128983
600000, "Parallel", 0.270280
600000, "Built-in", 0.128881
600000, "Sequential", 0.130431
600000, "Parallel", 0.282357
600000, "Built-in", 0.129081
600000, "Sequential", 0.127910
600000, "Parallel", 0.268271
