Size, Type, Time
100, "Sequential", 0.000013
100, "Parallel", 0.053671
100, "Built-in", 0.000014
100, "Sequential", 0.000010
100, "Parallel", 0.048801
100, "Built-in", 0.000014
100, "Sequential", 0.000011
100, "Parallel", 0.030869
100, "Built-in", 0.000014
100, "Sequential", 0.000010
100, "Parallel", 0.026661
100, "Built-in", 0.000015
100, "Sequential", 0.000010
100, "Parallel", 0.032211
100, "Built-in", 0.000014
1000, "Sequential", 0.000132
1000, "Parallel", 0.225765
1000, "Built-in", 0.000152
1000, "Sequential", 0.000132
1000, "Parallel", 0.137441
1000, "Built-in", 0.000144
1000, "Sequential", 0.000130
1000, "Parallel", 0.145094
1000, "Built-in", 0.000150
1000, "Sequential", 0.000131
1000, "Parallel", 0.172939
1000, "Built-in", 0.000149
1000, "Sequential", 0.000133
1000, "Parallel", 0.102267
1000, "Built-in", 0.000147
10000, "Sequential", 0.001680
10000, "Parallel", 0.265727
10000, "Built-in", 0.001679
10000, "Sequential", 0.001687
10000, "Parallel", 0.213148
10000, "Built-in", 0.001688
10000, "Sequential", 0.001666
10000, "Parallel", 0.194886
10000, "Built-in", 0.001680
10000, "Sequential", 0.001782
10000, "Parallel", 0.244857
10000, "Built-in", 0.001834
10000, "Sequential", 0.001630
10000, "Parallel", 0.258265
10000, "Built-in", 0.001677
100000, "Sequential", 0.019837
100000, "Parallel", 0.273681
100000, "Built-in", 0.020594
100000, "Sequential", 0.019588
100000, "Parallel", 0.265421
100000, "Built-in", 0.020562
100000, "Sequential", 0.019833
100000, "Parallel", 0.306579
100000, "Built-in", 0.020639
100000, "Sequential", 0.019786
100000, "Parallel", 0.275084
100000, "Built-in", 0.020775
100000, "Sequential", 0.020112
100000, "Parallel", 0.270105
100000, "Built-in", 0.020525
200000, "Sequential", 0.043237
200000, "Parallel", 0.250166
200000, "Built-in", 0.043964
200000, "Sequential", 0.042568
200000, "Parallel", 0.279392
200000, "Built-in", 0.043275
200000, "Sequential", 0.067956
200000, "Parallel", 0.256026
200000, "Built-in", 0.044282
200000, "Sequential", 0.041967
200000, "Parallel", 0.305745
200000, "Built-in", 0.044137
200000, "Sequential", 0.050913
200000, "Parallel", 0.295711
200000, "Built-in", 0.044250
300000, "Sequential", 0.063219
300000, "Parallel", 0.293871
300000, "Built-in", 0.065500
300000, "Sequential", 0.106226
300000, "Parallel", 0.325141
300000, "Built-in", 0.067392
300000, "Sequential", 0.066166
300000, "Parallel", 0.314054
300000, "Built-in", 0.067037
300000, "Sequential", 0.066517
300000, "Parallel", 0.303256
300000, "Built-in", 0.077463
300000, "Sequential", 0.066738
300000, "Parallel", 0.312555
300000, "Built-in", 0.066389
400000, "Sequential", 0.132557
400000, "Parallel", 0.353182
400000, "Built-in", 0.092899
400000, "Sequential", 0.131800
400000, "Parallel", 0.315465
400000, "Built-in", 0.094489
400000, "Sequential", 0.086430
400000, "Parallel", 0.255582
400000, "Built-in", 0.094433
400000, "Sequential", 0.096603
400000, "Parallel", 0.305285
400000, "Built-in", 0.091322
400000, "Sequential", 0.086976
400000, "Parallel", 0.298644
400000, "Built-in", 0.091428
500000, "Sequential", 0.113224
500000, "Parallel", 0.414407
500000, "Built-in", 0.120993
500000, "Sequential", 0.128334
500000, "Parallel", 0.359493
500000, "Built-in", 0.121374
500000, "Sequential", 0.118394
500000, "Parallel", 0.333158
500000, "Built-in", 0.122677
500000, "Sequential", 0.111739
500000, "Parallel", 0.287773
500000, "Built-in", 0.115107
500000, "Sequential", 0.161743
500000, "Parallel", 0.298898
500000, "Built-in", 0.118179
600000, "Sequential", 0.142319
600000, "Parallel", 0.385367
600000, "Built-in", 0.149097
600000, "Sequential", 0.180162
600000, "Parallel", 0.382965
600000, "Built-in", 0.152580
600000, "Sequential", 0.148370
600000, "Parallel", 0.486711
600000, "Built-in", 0.156406
600000, "Sequential", 0.132732
600000, "Parallel", 0.410120
600000, "Built-in", 0.145426
600000, "Sequential", 0.139250
600000, "Parallel", 0.349289
600000, "Built-in", 0.141216
700000, "Sequential", 0.158296
700000, "Parallel", 0.300731
700000, "Built-in", 0.164704
700000, "Sequential", 0.154673
700000, "Parallel", 0.328258
700000, "Built-in", 0.166711
700000, "Sequential", 0.156915
700000, "Parallel", 0.359229
700000, "Built-in", 0.164610
700000, "Sequential", 0.163434
700000, "Parallel", 0.374563
700000, "Built-in", 0.180763
700000, "Sequential", 0.159786
700000, "Parallel", 0.303510
700000, "Built-in", 0.179838
800000, "Sequential", 0.195251
800000, "Parallel", 0.313483
800000, "Built-in", 0.198720
800000, "Sequential", 0.209384
800000, "Parallel", 0.341832
800000, "Built-in", 0.190269
800000, "Sequential", 0.186423
800000, "Parallel", 0.378438
800000, "Built-in", 0.191119
800000, "Sequential", 0.181503
800000, "Parallel", 0.358345
800000, "Built-in", 0.194400
800000, "Sequential", 0.208076
800000, "Parallel", 0.371848
800000, "Built-in", 0.199474
900000, "Sequential", 0.219062
900000, "Parallel", 0.366036
900000, "Built-in", 0.214734
900000, "Sequential", 0.244125
900000, "Parallel", 0.338848
900000, "Built-in", 0.215013
900000, "Sequential", 0.266493
900000, "Parallel", 0.386294
900000, "Built-in", 0.215768
900000, "Sequential", 0.223429
900000, "Parallel", 0.327087
900000, "Built-in", 0.217660
900000, "Sequential", 0.210721
900000, "Parallel", 0.315077
900000, "Built-in", 0.215684
1000000, "Sequential", 0.245543
1000000, "Parallel", 0.392267
1000000, "Built-in", 0.242664
1000000, "Sequential", 0.282856
1000000, "Parallel", 0.353643
1000000, "Built-in", 0.241379
1000000, "Sequential", 0.230431
1000000, "Parallel", 0.324386
1000000, "Built-in", 0.241755
1000000, "Sequential", 0.247596
1000000, "Parallel", 0.414447
1000000, "Built-in", 0.242900
1000000, "Sequential", 0.236715
1000000, "Parallel", 0.355527
1000000, "Built-in", 0.246303
